,0.025,0,0.1,0.02004,0.0625,0.000448,0.002008,0.243243,0.009709,0.55,0.023343,0.2,0.3,0.4,0.444444,0.5,0.6,0.015919,0.018868,0.098365,0.7
0,0.041667,0.166667,0.0,0.008016,0.045139,0.0,0.002008,0.108108,0.038835,0.3125,0.016736,1.0,0.090909,0.7,0.5,0.0,0.0,0.00653,0.018868,0.088524,0
1,0.008333,0.166667,0.0,0.002004,0.010417,0.0,0.0,0.027027,0.009709,1.0,0.001542,0.0,0.0,1.0,1.0,0.0,0.0,0.002924,0.0,0.0,0
2,0.066667,0.0,0.088235,0.026052,0.069444,0.001793,0.018072,0.108108,0.07767,0.4,0.022242,0.2,0.090909,0.0,0.40625,0.0,0.0,0.005361,0.018868,0.129098,0
3,0.075,0.333333,0.0,0.01002,0.090278,0.002391,0.0,0.135135,0.067961,0.375,0.04074,1.0,0.0,0.8,0.388889,0.0,0.0,0.009259,0.037736,0.14754,1
4,0.025,0.166667,0.04902,0.014028,0.013889,0.000149,0.012048,0.027027,0.019417,0.25,0.003523,1.0,0.0,0.75,0.555556,0.0,0.0,0.001949,0.018868,0.098365,0
5,0.166667,0.0,0.0,0.008016,0.138889,0.019426,0.0,0.108108,0.174757,0.368421,0.075974,1.0,0.090909,0.0,0.284211,0.0,0.0,0.007749,0.056604,0.169672,1
6,0.108333,0.0,0.0,0.014028,0.097222,0.002989,0.004016,0.135135,0.116505,0.404762,0.040299,1.0,0.181818,0.0,0.3,0.0,0.0,0.00611,0.132075,0.204285,0
7,0.075,0.0,0.0,0.01002,0.065972,0.001195,0.008032,0.027027,0.087379,0.265625,0.026206,1.0,0.0,0.0,0.518519,0.0,0.0,0.00574,0.056604,0.213107,0
8,0.058333,0.666667,0.0,0.018036,0.086806,0.0,0.012048,0.081081,0.067961,0.333334,0.056155,0.0,0.0,0.863636,0.342857,0.4,0.263158,0.016987,0.169811,0.463705,0
9,0.075,0.833333,0.0,0.01002,0.059028,0.003885,0.0,0.135135,0.058252,0.416667,0.015635,0.0,0.0,0.949367,0.333333,0.2,0.210526,0.003195,0.056604,0.163932,0
